categ_id (catagory),default_code,description,combined,PackID,Sequence,Length 1,Width 1,Height 1,Weight 1
Finished Goods,RPP-3848,"Panel Mover with 6"" Phenolic Casters, all swivel, and 3 45"" uprights","[RPP-3848] Panel Mover with 6"" Phenolic Casters, all swivel, and 3 45"" uprights",Pack_0125,1,40,29,9,59
Finished Goods,RPP-3848,"Panel Mover with 6"" Phenolic Casters, all swivel, and 3 45"" uprights","[RPP-3848] Panel Mover with 6"" Phenolic Casters, all swivel, and 3 45"" uprights",Pack_0123,2,50,40,4,52
Finished Goods,RPP-3848-B,"Panel Mover with 6"" Phenolic Casters, all swivel, and 3 45"" uprights with Brakes","[RPP-3848-B] Panel Mover with 6"" Phenolic Casters, all swivel, and 3 45"" uprights with Brakes",Pack_0125,1,40,29,9,59
Finished Goods,RPP-3848-B,"Panel Mover with 6"" Phenolic Casters, all swivel, and 3 45"" uprights with Brakes","[RPP-3848-B] Panel Mover with 6"" Phenolic Casters, all swivel, and 3 45"" uprights with Brakes",Pack_0124,2,50,40,4,35
Finished Goods,RPP-3848-NU,"Panel Mover ,6"" all swivel casters, NO Uprights","[RPP-3848-NU] Panel Mover ,6"" all swivel casters, NO Uprights",Pack_0125,1,40,29,9,59
Finished Goods,RPP-3853,"Panel Mover with 5"" Poly Casters, 2 fixed and 2 swivel, and 3 45"" uprights","[RPP-3853] Panel Mover with 5"" Poly Casters, 2 fixed and 2 swivel, and 3 45"" uprights",Pack_0054,1,40,29,9,54
Finished Goods,RPP-3853,"Panel Mover with 5"" Poly Casters, 2 fixed and 2 swivel, and 3 45"" uprights","[RPP-3853] Panel Mover with 5"" Poly Casters, 2 fixed and 2 swivel, and 3 45"" uprights",Pack_0123,2,50,40,4,52
Finished Goods,RPP-3853-B,"Panel Mover with 5"" Poly Casters, 2 fixed and 2 swivel, and 3 45"" uprights with Brakes","[RPP-3853-B] Panel Mover with 5"" Poly Casters, 2 fixed and 2 swivel, and 3 45"" uprights with Brakes",Pack_0054,1,40,29,9,54
Finished Goods,RPP-3853-B,"Panel Mover with 5"" Poly Casters, 2 fixed and 2 swivel, and 3 45"" uprights with Brakes","[RPP-3853-B] Panel Mover with 5"" Poly Casters, 2 fixed and 2 swivel, and 3 45"" uprights with Brakes",Pack_0123,2,50,40,4,52
Finished Goods,RPP-3853US,"Panel Mover with 5"" Poly Casters, 2 Fixed and 2 Swivel; and 3 45"" Uprights","[RPP-3853US] Panel Mover with 5"" Poly Casters, 2 Fixed and 2 Swivel; and 3 45"" Uprights",Pack_0054,1,40,29,9,54
Finished Goods,RPP-3853US,"Panel Mover with 5"" Poly Casters, 2 Fixed and 2 Swivel; and 3 45"" Uprights","[RPP-3853US] Panel Mover with 5"" Poly Casters, 2 Fixed and 2 Swivel; and 3 45"" Uprights",Pack_0123,2,50,40,4,52
Finished Goods,RPP-3854,"Panel Mover with 5"" Poly Casters, all swivel, and 3 45"" uprights","[RPP-3854] Panel Mover with 5"" Poly Casters, all swivel, and 3 45"" uprights",Pack_0126,1,40,29,9,57
Finished Goods,RPP-3854,"Panel Mover with 5"" Poly Casters, all swivel, and 3 45"" uprights","[RPP-3854] Panel Mover with 5"" Poly Casters, all swivel, and 3 45"" uprights",Pack_0123,2,50,40,4,52
Finished Goods,RPP-3854-B,"Panel Mover with 5"" Poly Casters, all swivel, and 3 45"" uprights with Brakes","[RPP-3854-B] Panel Mover with 5"" Poly Casters, all swivel, and 3 45"" uprights with Brakes",Pack_0054,1,40,29,9,54
Finished Goods,RPP-3854-B,"Panel Mover with 5"" Poly Casters, all swivel, and 3 45"" uprights with Brakes","[RPP-3854-B] Panel Mover with 5"" Poly Casters, all swivel, and 3 45"" uprights with Brakes",Pack_0123,2,50,40,4,52
Finished Goods,RPP-3854US,"Panel Mover with 5"" Poly Casters, all swivel, and 3 45"" uprights","[RPP-3854US] Panel Mover with 5"" Poly Casters, all swivel, and 3 45"" uprights",Pack_0054,1,40,29,9,54
Finished Goods,RPP-3854US,"Panel Mover with 5"" Poly Casters, all swivel, and 3 45"" uprights","[RPP-3854US] Panel Mover with 5"" Poly Casters, all swivel, and 3 45"" uprights",Pack_0123,2,50,40,4,52
Finished Goods,RPP-3855,"Panel Mover with 5"" Phenolic Casters, 2 fixed and 2 swivel, and 2 45"" uprights","[RPP-3855] Panel Mover with 5"" Phenolic Casters, 2 fixed and 2 swivel, and 2 45"" uprights",Pack_0054,1,40,29,9,54
Finished Goods,RPP-3855,"Panel Mover with 5"" Phenolic Casters, 2 fixed and 2 swivel, and 2 45"" uprights","[RPP-3855] Panel Mover with 5"" Phenolic Casters, 2 fixed and 2 swivel, and 2 45"" uprights",Pack_0124,2,50,40,4,35
Finished Goods,RPP-3855-B,"Panel Mover with 5"" Phenolic Casters, 2 fixed and 2 swivel, and 2 45"" uprights with Brakes","[RPP-3855-B] Panel Mover with 5"" Phenolic Casters, 2 fixed and 2 swivel, and 2 45"" uprights with Brakes",Pack_0054,1,40,29,9,54
