categ_id (catagory),default_code,description,combined,PackID,Sequence,Length 1,Width 1,Height 1,Weight 1
Finished Goods,RPP-940,Half Height Chair Storage Truck,[RPP-940] Half Height Chair Storage Truck,,1,8,32,43,31
Finished Goods,RPP-940,Half Height Chair Storage Truck,[RPP-940] Half Height Chair Storage Truck,,2,3,32,70,31
Finished Goods,RPP-975,975 Pipe Rack (without brakes),[RPP-975] 975 Pipe Rack (without brakes),,1,8,32,43,31
Finished Goods,RPP-975,975 Pipe Rack (without brakes),[RPP-975] 975 Pipe Rack (without brakes),,2,3,32,70,31
Finished Goods,RPP-976,976 Pipe Rack (With Brakes),[RPP-976] 976 Pipe Rack (With Brakes),,1,8,32,43,31
Finished Goods,RPP-976,976 Pipe Rack (With Brakes),[RPP-976] 976 Pipe Rack (With Brakes),,2,3,32,70,31
Finished Goods,RPP-3780,"Round Table & Chair Mover 5"" Phenolic 2F & 2S 1 std 3700 Upright 1 Upright with Prongs","[RPP-3780] Round Table & Chair Mover 5"" Phenolic 2F & 2S 1 std 3700 Upright 1 Upright with Prongs",,1,40,28,6,36
Finished Goods,RPP-3780,"Round Table & Chair Mover 5"" Phenolic 2F & 2S 1 std 3700 Upright 1 Upright with Prongs","[RPP-3780] Round Table & Chair Mover 5"" Phenolic 2F & 2S 1 std 3700 Upright 1 Upright with Prongs",,2,40,28,6,36
Finished Goods,RPP-485,"HD Caddy with 10"" Air Free Wheels, and 6.125"" Channel and 2 Uprights","[RPP-485] HD Caddy with 10"" Air Free Wheels, and 6.125"" Channel and 2 Uprights",,1,21,16,11,21
Finished Goods,RPP-485,"HD Caddy with 10"" Air Free Wheels, and 6.125"" Channel and 2 Uprights","[RPP-485] HD Caddy with 10"" Air Free Wheels, and 6.125"" Channel and 2 Uprights",,2,41,20,3,14
Finished Goods,RPP-490,"HD Caddy with 10"" Air Free Wheels, and 12.25"" Channel, and 2 Uprights","[RPP-490] HD Caddy with 10"" Air Free Wheels, and 12.25"" Channel, and 2 Uprights",,1,22,21,12,28
Finished Goods,RPP-490,"HD Caddy with 10"" Air Free Wheels, and 12.25"" Channel, and 2 Uprights","[RPP-490] HD Caddy with 10"" Air Free Wheels, and 12.25"" Channel, and 2 Uprights",,2,41,20,3,14
Finished Goods,RPP-491,"HD Caddy with 12.25"" Channel No Wheels","[RPP-491] HD Caddy with 12.25"" Channel No Wheels",,1,22,21,12,28
Finished Goods,RPP-491,"HD Caddy with 12.25"" Channel No Wheels","[RPP-491] HD Caddy with 12.25"" Channel No Wheels",,2,41,20,3,14
Finished Goods,RPP-900L,"Hanging Folded Chair Storage Truck for Lifetime Chairs, with 5"" Phenolic Casters, all swivel","[RPP-900L] Hanging Folded Chair Storage Truck for Lifetime Chairs, with 5"" Phenolic Casters, all swivel",,1,8,32,63,34
Finished Goods,RPP-900L,"Hanging Folded Chair Storage Truck for Lifetime Chairs, with 5"" Phenolic Casters, all swivel","[RPP-900L] Hanging Folded Chair Storage Truck for Lifetime Chairs, with 5"" Phenolic Casters, all swivel",,2,3,32,80,45
Finished Goods,RPP-915L,"Hanging Folded Chair and Table Storage Truck Compact Size for Lifetime Chairs with 5"" Phenolic C...","[RPP-915L] Hanging Folded Chair and Table Storage Truck Compact Size for Lifetime Chairs with 5"" Phenolic C...",,1,8,32,63,30
Finished Goods,RPP-915L,"Hanging Folded Chair and Table Storage Truck Compact Size for Lifetime Chairs with 5"" Phenolic C...","[RPP-915L] Hanging Folded Chair and Table Storage Truck Compact Size for Lifetime Chairs with 5"" Phenolic C...",,2,3,32,80,41
